time_s cwnd_bytes
7.49609 84847
7.50223 84871
7.50673 84895
7.50958 84919
7.51408 84943
7.51775 84967
7.5239 84991
7.52675 85015
7.53042 85039
7.53574 85063
7.53942 85087
7.54227 85111
7.54594 85135
7.55044 85159
7.55411 85183
7.55696 85207
7.56228 85231
7.56596 85255
7.56798 85279
7.57165 85303
7.57368 85327
7.57653 85351
7.58103 85375
7.58305 85399
7.58508 85423
7.58875 85447
7.59407 85471
7.59775 85495
7.60224 85519
7.60592 85543
7.60877 85567
7.61244 85591
7.61529 85615
7.61896 85639
7.62181 85663
7.62466 85687
7.62916 85711
7.63119 85735
7.63486 85759
7.63771 85783
7.64138 85807
7.68626 85831
7.69076 85855
7.69525 85879
7.7014 85903
7.7059 85927
7.71122 85951
7.71819 85975
7.72433 85999
7.73213 86023
7.73992 86047
7.74854 86071
7.75468 86095
7.7633 86119
7.76945 86143
7.77559 86167
7.77927 86191
7.78376 86215
7.78826 86239
7.79441 86263
7.7989 86287
7.80175 86311
7.80625 86335
7.80992 86359
7.81607 86383
7.81974 86407
7.82342 86431
7.82874 86455
7.83241 86479
7.83526 86503
7.83894 86527
7.84426 86551
7.84793 86575
7.85078 86599
7.8561 86623
7.8606 86647
7.86263 86671
7.8663 86695
7.86832 86719
7.87117 86743
7.87567 86767
7.87852 86791
7.88055 86815
7.88422 86839
7.88625 86863
7.88992 86887
7.89359 86911
7.89809 86935
7.90176 86959
7.90461 86983
7.90911 87007
7.91196 87031
7.91564 87055
7.91848 87079
7.92133 87103
7.92583 87127
7.92786 87151
7.93153 87175
7.93438 87199
7.93805 87223
7.97881 87247
7.98248 87271
7.98698 87295
7.99312 87319
7.99762 87343
8.00294 87367
8.00909 87390
8.01524 87413
8.0222 87436
8.03 87459
8.03862 87482
8.04559 87505
8.0542 87528
8.06117 87551
8.06732 87574
8.07099 87597
8.07549 87620
8.07999 87643
8.08613 87666
8.09063 87689
8.09348 87712
8.09798 87735
8.10248 87758
8.10862 87781
8.11229 87804
8.11597 87827
8.12129 87850
8.12579 87873
8.12864 87896
8.13231 87919
8.13763 87942
8.14131 87965
8.14498 87988
8.1503 88011
8.1548 88034
8.15682 88057
8.1605 88080
8.16252 88103
8.1662 88126
8.17069 88149
8.17354 88172
8.17557 88195
8.17924 88218
8.18209 88241
8.18577 88264
8.18779 88287
8.18982 88310
8.19432 88333
8.19799 88356
8.20084 88379
8.20534 88402
8.20819 88425
8.21186 88448
8.21471 88471
8.21838 88494
8.22206 88517
8.22491 88540
8.22858 88563
8.23143 88586
8.2351 88609
8.27174 88632
8.27541 88655
8.27908 88678
8.28523 88701
8.28973 88724
8.29505 88747
8.30037 88770
8.30652 88793
8.31266 88816
8.32045 88839
8.32907 88862
8.33604 88885
8.34548 88908
8.35245 88931
8.35942 88954
8.3631 88977
8.36759 89000
8.37209 89023
8.37824 89046
8.38273 89069
8.38558 89092
8.39008 89115
8.39458 89138
8.40072 89161
8.4044 89184
8.4089 89207
8.41422 89230
8.41872 89253
8.42156 89276
8.42606 89299
8.43138 89322
8.43506 89345
8.43873 89368
8.44405 89391
8.44855 89414
8.45058 89437
8.45425 89460
8.4571 89483
8.46077 89506
8.46527 89529
8.46812 89552
8.47015 89575
8.47464 89598
8.47749 89621
8.48117 89644
8.48319 89667
8.48522 89690
8.48972 89713
8.49174 89736
8.49377 89759
8.49744 89782
8.50194 89805
8.50479 89828
8.50846 89851
8.51131 89874
8.51498 89897
8.51866 89920
8.52151 89943
8.52518 89966
8.52885 89989
8.53253 90012
8.56504 90035
8.56872 90058
8.57239 90081
8.57853 90104
8.58221 90127
8.58753 90150
8.59285 90173
8.59817 90196
8.60432 90219
8.61129 90242
8.61991 90265
8.62688 90288
8.63632 90311
8.64411 90334
8.65108 90357
8.65475 90380
